record_id,filer_id,filer_name,party,date,amount,payee_display,purpose_display,office,source_link,vendor_ids,vendor_names,vendor_groups,vendor_eras,confidences
3171839-38-G-27460,742344,Monterey County Republican Central Committee (State),,2026-05-19,17.0,Chatgpt,Web services,,,openai,OpenAI (ChatGPT),general_purpose,generative,high
3171839-39-G-27601,742344,Monterey County Republican Central Committee (State),,2026-06-22,17.0,Chatgpt,Web services,,,openai,OpenAI (ChatGPT),general_purpose,generative,high
3181321-88-EDT156,1485203,"Alliance Against Corporate Abuse, sponsored by Consumer Attorneys of California",,2026-06-01,1550.0,"SpeechifAI, Inc. dba SoSha",,,,sosha,SoSha (Speechifai),political_specific,generative,high
3176195-42-EDT190,1474269,DaVita Patient Protection Committee,,2026-05-20,8489.32,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3176195-44-EDT195,1474269,DaVita Patient Protection Committee,,2026-05-21,8489.32,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3176195-52-EDT196,1474269,DaVita Patient Protection Committee,,2026-05-22,8489.32,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3176195-54-EDT197,1474269,DaVita Patient Protection Committee,,2026-05-26,8489.32,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3176195-55-EDT198,1474269,DaVita Patient Protection Committee,,2026-05-26,8489.32,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3180481-44-EXP1437,1477103,Dom Belza,,2026-05-27,6000.0,"Prompt.io, Inc.",Texting Platform,,,prompt_io,Prompt.io,political_specific,legacy,high
3180481-45-EXP1438,1477103,Dom Belza,,2026-05-27,2000.0,"Prompt.io, Inc.",Texting Platform,,,prompt_io,Prompt.io,political_specific,legacy,high
3180481-65-EXP1477,1477103,Dom Belza,,2026-06-15,2000.0,"Prompt.io, Inc.",Texting Platform,,,prompt_io,Prompt.io,political_specific,legacy,high
3179329-4-G-18138,1462971,"Fairs, Farms, and Family Fund, Senator Alvarado-Gil's Ballot Measure Committee",,2026-05-29,3161.97,Prompt.io,Text Messages,,,prompt_io,Prompt.io,political_specific,legacy,high
3173400-28-EDT43,1491150,"Advocates for safe schools, affordable housing and health care, and jobs supporting Paul Seo and opposing Sara Deen for Assembly 2026",,2026-05-18,14087.7,Prompt.io Inc.,,,,prompt_io,Prompt.io,political_specific,legacy,high
3181068-618-PDT127,1484835,"A MORE AFFORDABLE CALIFORNIA, SPONSORED BY UBER",,2026-04-20,698952.76,PROMPT.IO,,,,prompt_io,Prompt.io,political_specific,legacy,high
3181068-623-PDT509,1484835,"A MORE AFFORDABLE CALIFORNIA, SPONSORED BY UBER",,2026-06-15,362036.25,PROMPT.IO,,,,prompt_io,Prompt.io,political_specific,legacy,high
3156945-18-PDT7,1488406,Legislative Action PAC in support of Ed Musgrove for Senate 2026,,2026-05-14,31525.74,Prompt.io Inc.,Text Messages,,,prompt_io,Prompt.io,political_specific,legacy,high
3180280-51-PDT1846,1456613,Susan Rubio,,2026-05-28,20.0,OpenAI,,,,openai,OpenAI (ChatGPT),general_purpose,generative,high
3180280-52-PDT1885,1456613,Susan Rubio,,2026-06-28,20.0,OpenAI,,,,openai,OpenAI (ChatGPT),general_purpose,generative,high
3181572-15-E-522,1481181,Gracey Van Der Mark,,2026-05-25,5000.0,"Prompt.IO, Inc.",,,,prompt_io,Prompt.io,political_specific,legacy,high
3181572-16-E-542,1481181,Gracey Van Der Mark,,2026-05-29,2000.0,"Prompt.IO, Inc.",,,,prompt_io,Prompt.io,political_specific,legacy,high
3181572-17-E-555,1481181,Gracey Van Der Mark,,2026-06-09,4000.0,"Prompt.IO, Inc.",,,,prompt_io,Prompt.io,political_specific,legacy,high
3181572-18-E-556,1481181,Gracey Van Der Mark,,2026-06-09,4000.0,"Prompt.IO, Inc.",,,,prompt_io,Prompt.io,political_specific,legacy,high
3179630-127-PDT711,1479597,Katie Porter,,2026-06-02,3.49,Otter.ai,,,,otter_ai,Otter.ai,general_purpose,legacy,high
3179630-128-PDT715,1479597,Katie Porter,,2026-06-04,180.09,Otter.ai,,,,otter_ai,Otter.ai,general_purpose,legacy,high
3178526-32-EXP1507,1461592,Janelle Kellman,,2026-06-02,166.67,NUMERO.AI,Numero donation management monthly subscription,,,numero_ai,Numero (donor database / call time),political_specific,legacy,high
