filer_cpf_id,year,total_expenditure
13843,2026,1482.67
13858,2023,13270.71
13858,2024,14317.83
13858,2025,14279.52
13858,2026,10983.79
13863,2023,226984.52
13863,2024,375933.43
13863,2025,843487.08
13863,2026,77929.95
13863,2222,34.0
13873,2024,6101.0
13873,2025,786.0
13878,2023,16252.12
13878,2024,20588.34
13878,2025,16348.97
13878,2026,13261.74
13888,2023,760.46
13888,2024,100.0
13888,2025,300.0
13888,2026,163.0
13899,2023,965070.83
13899,2024,167347.69
13899,2025,282291.14
13899,2026,155641.02
13910,2023,17052.46
13910,2024,120.0
13910,2025,1076.39
13916,2023,13995.58
13916,2024,21939.65
13916,2025,21585.67
13916,2026,6892.63
13923,2024,35392.75
13923,2025,75.0
13923,2026,67610.23
13936,2023,5518.0
13936,2024,6025.69
13936,2025,6658.58
13936,2026,25531.04
13938,2023,7137.71
13938,2024,18551.4
13938,2025,6550.8
13938,2026,4229.52
13946,2023,34167.84
13946,2024,44320.38
13946,2025,51786.56
13946,2026,170746.36
13951,2023,16566.43
13951,2024,36818.22
13951,2025,35037.73
13951,2026,29402.44
13953,2023,8763.61
13953,2024,1942.56
13953,2025,5989.36
13953,2026,1629.92
14018,2024,12119.52
14018,2025,1094.34
14091,2023,430.61
14091,2024,458.36
14091,2025,381.76
14091,2026,175.0
14092,2023,34020.76
14092,2024,16795.6
14092,2025,925.04
14128,2024,163041.42
14141,2023,377.73
14141,2024,25.0
14141,2025,60.0
14141,2026,40.0
14156,2024,2665.11
14156,2026,289.86
14168,2023,18096.71
14168,2024,27823.16
14168,2025,19509.95
14168,2026,7766.74
14179,2023,11831.33
14179,2024,2759.0
14179,2025,12732.26
14179,2026,40.0
14188,2023,66457.93
14188,2024,69261.29
14188,2025,55238.26
14188,2026,27175.98
14191,2023,144.0
14191,2024,90.0
14208,2023,27387.22
14208,2024,17961.92
14208,2025,5082.21
14208,2026,3795.72
14210,2023,126.64
14210,2024,1289.02
14210,2025,749.25
14232,2023,5618.88
14232,2024,28417.84
14232,2025,11235.79
14232,2026,18809.27
14233,2023,7183.31
14233,2024,15883.85
14233,2025,4805.35
14233,2026,11453.78
14248,2023,2585.87
14248,2024,233.53
14248,2025,8022.95
14258,2023,13074.61
14258,2024,105632.44
14258,2025,19015.91
