filer_id,year,total_expenditure
BEBET--739,2025,510.0
BECKC--065,2023,7022.8
BECKC--309,2026,12241.59
BECKC--877,2025,22846.69
BECKL--290,2025,619.04
BECKR--377,2024,5768.78
BECKR--908,2025,8827.72
BEDFM--228,2025,26769.72
BEHAM--019,2023,3038.77
BELKM--098,2023,3175.51
BELKM--098,2026,11357.15
BELLC--804,2026,25064.09
BELLFP 015,2023,18788.36
BELLFP 015,2024,5158.15
BELLFP 015,2025,11885.89
BELLFP 015,2026,4879.28
BELLP  225,2025,23825.01
BELLP--943,2024,51834.25
BELOA--360,2023,72.31
BELOA--360,2025,416.0
BELOJ--004,2023,745.3
BELTM--997,2024,575461.12
BELTM--997,2025,3187.17
BELTM--997,2026,468.63
BENDB--885,2026,3325.76
BENIV--716,2025,29269.45
BENJF  163,2023,12805.85
BENNB--557,2025,98.28
BENNJ--555,2025,13075.11
BENNM--621,2026,21896.73
BENST--588,2026,8944.86
BENTB--100,2024,207790.36
BENTB--100,2025,10096.94
BENTDCC336,2023,25791.0
BENTDCC336,2024,23610.21
BENTDCC336,2025,19571.61
BENTDCC336,2026,19243.35
BENTJ--032,2023,263.08
BENTRC 352,2023,74270.55
BENTRC 352,2024,61839.88
BENTRC 352,2025,45023.18
BENTRC 352,2026,45098.56
BENTRCE338,2023,1000.0
BEREJ--885,2025,9706.98
BEREJ--885,2026,1003.67
BEREP--948,2025,54971.89
BERGD--692,2025,8265.48
BERGD--692,2026,18674.17
BERGR--992,2023,3774.01
BERGR--992,2026,8542.26
BERGS  056,2023,991.21
BERGS  056,2024,123904.33
BERGS  056,2025,400.0
BERGS  056,2026,163320.27
BERKA--813,2023,12170.33
BERNA--399,2023,459.08
BERNA--399,2024,187584.59
BERNA--399,2025,1277.14
BERNA--399,2026,41660.53
BERNE  117,2024,2323.91
BERNL--660,2025,2633.86
BERNP--775,2024,15937.3
BERRE--109,2023,11442.11
BERRE--109,2024,144265.43
BERRE--109,2025,16676.67
BERRE--109,2026,20273.65
BESTR--197,2025,125446.71
BETHCC 445,2023,277.25
BETHCC 445,2025,9479.79
BETHCC 445,2026,4868.01
BETTL--019,2025,561.45
BETTT--640,2025,10477.69
BETTT--640,2026,410.0
BEVIT--120,2026,14951.94
BEYNB--226,2024,9436.21
BHACK--226,2024,131926.3
BHACK--226,2025,192.0
BHACK--226,2026,1254.12
BHARV--296,2025,99724.02
BHARV--296,2026,452.62
BIBBB--500,2023,1534.81
BIELJ--657,2026,10744.1
BIG IP 506,2023,6209.0
BIG IP 506,2024,42592.0
BIG IP 506,2025,13645.0
BIG IP 506,2026,20460.0
BIGED  612,2026,3236.99
BIGGJ--930,2026,13673.75
BIKEW--089,2025,73531.09
BIKEW--089,2026,13870.16
BILLA  203,2023,-15258.89
BILLA  203,2024,189725.6
BILLA  203,2025,25018.34
BINDC--562,2023,3090.63
BINDC--562,2025,1157.36
BINDJ--036,2025,11682.92
BINDR--722,2023,4701.16
BINGJ  228,2025,111702.22
BINGJ  228,2026,74398.93
BIOPA  101,2023,450.0
BIOPA  101,2024,36600.0
BIOPA  101,2026,15000.0
BIRDM--352,2023,301818.53
BIRDM--352,2024,429798.36
BIRKI--846,2026,92039.14
BIRNA  052,2023,96669.37
BISHN--238,2025,110.19
BITZM--233,2025,34318.76
BLACA  801,2024,24911.93
BLACN  033,2023,1429.65
BLACN  033,2024,770.78
BLACN  033,2025,55388.51
BLACN2 033,2024,234.9
BLACN2 033,2025,31125.1
BLACO--829,2025,16725.29
BLAIG--718,2025,24558.95
BLAKK  056,2025,10330.26
BLAKL--960,2024,500.0
BLAND--169,2024,4934.96
BLING  464,2024,2219.91
BLISC--103,2025,2738.83
BLOOC--397,2025,9090.44
BLOOC--397,2026,56267.24
BLOOT--060,2024,2786.85
BLOOT--060,2026,9841.62
BLOSP--731,2025,10432.78
BLOSS  110,2025,11633.57
BLUED--216,2026,189.37
BLUMD--774,2026,676.88
BLUMS--301,2025,6705.09
BLUSG  584,2023,500.0
BLUSG  584,2026,4947.71
BOB-B--673,2023,15.0
BOB-B--673,2024,150045.0
BOCCP  498,2023,198.0
BODIF--028,2023,5740.31
BOEHM  336,2023,3641.47
BOEHM  336,2024,-2529.51
BOEHM  336,2025,-435.63
BOEHM  336,2026,14021.1
BOGEB--448,2024,176223.91
BOLTK--312,2023,7974.86
BONBE--900,2023,8636.9
BONDD--974,2024,854.93
BONDD--974,2025,4418.51
BONDN--737,2023,727.51
BONDN--737,2024,6416.46
BONDR--847,2025,6504.5
BONDS--338,2025,111.67
BONDS--338,2026,0.0
BOOKJ--617,2023,338.32
BORNN--915,2026,22975.86
BORYZ--512,2024,694.0
BOSLK--517,2025,60.0
BOSWJ--963,2023,5995.63
BOSWJ--963,2024,5154.91
BOSWK--784,2023,9371.73
BOSWK--784,2024,5.99
BOSWK--784,2025,577.29
BOUDS  632,2025,16269.54
BOUFV--592,2023,4658.11
BOUFV--592,2025,120.0
BOUSD  026,2025,14999.0
BOWEB--221,2023,29413.23
BOWEK--951,2023,336.91
BOWMC--050,2023,132.0
BOWMR--013,2026,1390.0
BOWYT--257,2026,6944.33
BOYCW  042,2023,5210.01
BOYDJ--999,2023,22905.61
BOYDW--662,2023,39.99
BOYDW--662,2024,4109.97
BOYKF  496,2023,26537.83
BOYLE--671,2025,42901.71
BRAAC  424,2024,837.11
BRACD--695,2025,1766.84
BRACD--695,2026,24524.38
BRACR--180,2026,8208.85
BRADD--994,2026,322.39
BRADG--059,2026,5674.3
BRADJ--543,2025,8889.55
BRANM  498,2025,11088.79
BRAUJ  532,2023,2175.37
BRAUJ  532,2024,406999.07
BRAUJ *532,2025,1273.89
BRAUJ *532,2026,1575.0
BREDJ  163,2023,209.25
BREIA--885,2023,3477.1
BREND--552,2024,4512.51
BRENL--208,2025,10983.48
BRENR--842,2023,33107.7
BRHASE 188,2023,1788.84
BRIAN--546,2024,454.94
BRIAN--546,2025,94799.88
BRIGE--759,2023,16837.77
BRIGR--206,2024,9409.39
BRIGT--392,2026,5444.96
BRINA--412,2023,11361.24
BRINF  353,2025,10110.59
BRINF  353,2026,207.9
BRINR  826,2023,8346.71
BRINVH 682,2023,144973.4
BRISR--414,2023,14169.63
BROCR  273,2023,100.0
BROCR  273,2024,39045.16
BROND--784,2023,1670.51
BROND--784,2024,232966.9
BROND--784,2025,2516.65
BROND--784,2026,3168.24
BROOJ--192,2023,7260.05
BROWA  572,2024,14482.0
BROWA--372,2024,2686.57
BROWA--825,2025,14897.42
BROWA--825,2026,105.0
BROWB--336,2024,9944.27
BROWI--307,2023,12018.38
BROWJ--480,2024,9419.05
BROWL  002,2023,327.02
BROWL  002,2024,378.75
BROWL  002,2025,1811.13
BROWL  204,2023,493751.38
BROWL  204,2024,28230.18
BROWL  204,2025,521.23
BROWL  204,2026,975.43
BROWM--936,2025,22587.02
BROWM--936,2026,730.61
BROWN--210,2025,3507.52
BROWN--461,2024,-300.0
BROWN--461,2025,238603.67
BROWN--461,2026,215802.07
BROWN--934,2023,201433.9
BROWN--934,2024,2033000.74
BROWP  274,2024,35972.29
BROWP  274,2025,10.0
BROWS--180,2023,76013.13
BROWT--891,2026,42144.97
BROZJ--597,2024,26007.37
BRUCJ--669,2026,9034.11
BRUHM--564,2025,6280.51
BRUMS--462,2026,3844.61
BRYAD  391,2023,11370.9
BUCHB  227,2023,14658.44
BUCHB  227,2025,22788.7
BUCKD  020,2023,16386.17
BUDRP  856,2023,-0.0
BUI T  206,2025,90814.54
BUI T  206,2026,1123.7
BUILD  109,2023,243361.47
BUILD  109,2024,587754.37
BUILD  109,2025,294898.28
BUILD  109,2026,258435.57
BUILD  220,2023,66350.0
BUILD  220,2024,53000.0
BUILD  220,2025,57100.0
BUILD  220,2026,53800.0
BUILIG 661,2023,24894.03
BUILIG 661,2024,67228.53
BUILIG 661,2025,58408.28
BUILIG 661,2026,6200.0
BUILOM 101,2023,9300.0
BUILOM 101,2024,31350.0
BUILOM 101,2025,9100.0
BUILOM 101,2026,22600.0
BULAN--228,2023,9000.0
BUNCC--485,2023,612.58
BUNTN--344,2023,10615.41
BURBL--392,2025,9085.87
BURCS--407,2023,8027.08
BURFS--700,2023,25555.17
BURFS--700,2024,500.0
BURGK--684,2024,15510.42
BURIR--116,2024,121250.75
BURIR--116,2025,32112.12
BURIV--889,2025,7497.08
BURNB  807,2024,84178.28
BURNB  807,2025,2549.23
BURNB  807,2026,45588.05
BURNJ--284,2023,601.02
BURNJ--284,2025,8041.84
BURNJ--284,2026,31403.88
BURNK--156,2025,25718.01
BURRJ  198,2023,109.72
BURRM--519,2026,949.84
BURRP--188,2026,10438.25
BURTK--190,2025,1550.74
BURTK--190,2026,39993.51
BUSEY--906,2026,104575.05
BUSHC--490,2024,90.2
BUSHC--490,2025,58798.73
