cmte_id,total_amount,total_count
C00148999,436163.93,280
C00149104,3860.88,2
C00149641,99961.28,214
C00150367,14614.29,138
C00150672,515139.74,51
C00150797,4158.72,18
C00151175,1618.86,17
C00151340,53567.57,10
C00151688,66190.0,19
C00151787,3517.29,19
C00153031,238242.49,357
C00153171,3200.0,2
C00153445,4695.16,3
C00153684,7255.0,14
C00154104,1002.63,9
C00154625,1196322.56,475
C00155366,320.41,1
C00155440,163261.18,8
C00155952,127722.46,137
C00156216,276.0,5
C00156810,975170.23,457
C00157941,185543.16,19
C00157958,159.24,3
C00158402,162635.6,122
C00158576,126477.13,31
C00158881,19045.0,2
C00159954,9300.07,19
C00160259,4723.87,53
C00160770,473.98,10
C00160937,109709.94,257
C00160986,5000.0,1
C00161067,206973.43,204
C00161141,461.0,28
C00161190,765.9,4
C00161265,64012.38,18
C00161786,1306123.58,848
C00161810,201572.48,370
C00162339,2259326.2,1073
C00162578,55454.43,19
C00162818,26385.0,1
C00163048,13842.3,28
C00163212,10260.78,18
C00163238,825.0,2
C00163253,609.0,2
C00163956,54616.0,4
C00164145,0.0,2
C00164418,7934.57,37
C00164509,320.0,8
C00164848,338.65,2
C00165159,1813498.77,304
C00165472,40.0,2
C00165522,2289.45,16
C00165548,129714.83,61
C00165688,114411.85,47
C00165944,1245.0,1
C00166272,12465.75,49
C00166348,2662.07,5
C00166355,4950.0,18
C00166710,529742.05,587
C00167015,255701.57,370
C00167130,61624.24,45
C00167213,267215.88,343
C00167320,588171.87,467
C00167346,293134.55,325
C00167460,5206.18,20
C00167585,488558.56,266
C00167684,340.0,6
C00167759,409.98,1
C00168864,736.28,15
C00170175,5778.71,24
C00170258,14756.04,38
C00171330,44857.12,59
C00171504,1242.0,2
C00171843,12207.57,2
C00171926,563.46,11
C00172205,1202.76,6
C00172296,224721.23,43
C00172361,3446.22,3
C00172494,4016.84,3
C00172510,250308.54,386
C00172619,115931.52,99
C00172833,3922.32,17
C00172841,7249.75,46
C00173096,618.7,22
C00173393,20.23,3
C00174334,24687.49,33
C00174847,8429.04,17
C00175521,2324.38,46
C00178038,338830.54,191
C00178418,13470.0,6
C00179408,97283.45,37
C00183962,30000.0,2
C00187450,201357.69,146
C00187526,484.44,1
C00188011,3215.24,2
C00188078,5289.26,9
C00188177,1596.19,21
C00188193,28329.14,67
C00188367,312203.58,277
C00188987,1787.21,26
C00189100,279.09,1
C00190934,59441.6,22
C00190991,26876.75,22
C00191247,359882.54,346
C00191288,96788.12,143
C00192153,211.2,24
C00193342,182286.68,175
C00193383,6440.0,3
C00193433,36538174.11,7085
C00193441,17935.22,23
C00193631,20260.47,40
C00193672,508.3,3
C00193854,2696.55,9
C00193979,358.5,2
C00194746,13916.59,19
C00195024,3872.25,4
C00195628,3271.49,36
C00195891,1070.73,14
C00196089,23365.08,138
C00196246,1836.26,16
C00196428,457.82,6
C00196444,3127.95,13
C00196725,3372.38,22
C00196774,5611771.26,2662
C00196915,43671.62,23
C00197103,340.0,1
C00197160,1198.48,4
C00197228,156.69,1
C00197715,16108.64,13
C00197749,2379.56,19
C00198259,4080.0,3
C00198861,4064.68,25
C00199257,6469.83,6
C00199703,356.2,5
C00200865,116171.8,55
C00201863,2220.03,2
C00201871,5746.27,8
C00202176,4769.43,24
C00202184,1787.71,4
C00202416,24821.82,4
C00202804,6793.63,4
C00203497,204845.49,38
C00204453,7500.0,6
C00205369,2250.0,3
C00206177,138448.18,37
C00207399,34058.3,111
C00208991,79623.92,26
C00210344,1371.57,12
C00210526,6698.0,4
C00210617,498.28,6
C00211318,495743.1,58
C00211524,80007.17,14
C00211763,110385.38,29
C00212423,3321.48,9
C00212787,94708.42,173
C00213066,319.06,7
C00213074,327.0,1
C00213173,5374.5,37
C00213355,32.1,3
C00213512,2433801.17,593
C00213645,3376.33,2
C00213819,83475.23,39
C00214072,990.82,14
C00214148,2648.41,15
C00214643,4212956.45,19
C00214809,1594.86,30
C00214981,5851.71,20
C00216127,25316.84,9
C00216184,1550.0,5
C00216614,659769.69,1472
C00216895,15248.0,21
C00219444,25294.33,48
C00219568,12818.0,18
C00219642,378378.25,30
C00220566,874528.73,533
C00221077,3202.29,28
C00222422,1376.31,2
C00224717,20036.16,15
C00225342,45124.43,39
C00226522,2236242.42,647
C00226928,1652567.55,577
C00227546,4978.42,22
C00227744,587723.81,42
C00228296,4676.22,9
C00229104,35020.25,20
C00229377,227913.03,68
C00230201,27.98,2
C00230482,280892.21,214
C00231076,2583.0,1
C00232835,5778.0,6
C00232967,155.62,1
C00233049,1600.0,2
C00233353,8075.0,19
C00233361,80776.24,84
C00235184,2650.66,26
C00235572,4579.75,2
C00235655,178423.1,71
C00235739,989.85,7
C00235762,681.8,6
