spender_id,total_amount,total_count
C00784033,248607.0,10
C00784876,123000.0,3
C00785022,31500.0,1
C00785121,223879.3,1
C00785352,11300000000.0,2
C00785550,85000.0,1
C00785568,60000.0,1
C00785899,33543.29,2
C00786152,3305472.64,27
C00786269,29000.0,3
C00786293,27790.94,3
C00786517,350969.95,6
C00786830,774481.46,32
C00787432,2804600.0,36
C00787499,247712.8,4
C00787564,29747.53,4
C00787671,200790.09,658
C00787887,69699.0,4
C00787945,185140.0,66
C00787978,1679004.83,14
C00788851,3394456.32,13
C00788877,1117154.75,27
C00789339,6778736.5,92
C00789362,203881.5,3
C00789495,1773105.85,6
C00789974,23000.0,2
C00790071,2100806.86,7
C00790089,764800.0,11
C00790477,393786.2,20
C00790808,749452.16,12
C00790923,2933164.0,17
C00791111,51450.0,6
C00791202,4002284.45,28
C00792028,8000.0,2
C00792200,634541.67,20
C00792259,5369711.5,27
C00792333,9154356.41,35
C00792358,79824.15,6
C00792408,829590.51,11
C00793356,522766.43,16
C00793695,100000.0,1
C00793869,4262018.5,27
C00794396,10465239.87,222
C00794719,2051320.0,15
C00794891,19588099.88,189
C00795484,70489.18,5
C00795831,153772.76,450
C00795864,94907.21,450
C00795948,4631672.89,36
C00796045,395889.75,9
C00796201,16997.0,2
C00797084,28050.0,46
C00797266,288.34,1
C00797324,1957.87,1
C00797332,729057.12,28
C00797340,64646.93,12
C00797480,230850.0,3
C00797654,305200.0,7
C00797720,80000.0,4
C00797829,75988.66,2
C00798009,244217.65,14
C00798116,19262384.24,68
C00798355,74999.99,2
C00798363,81013.0,8
C00799031,26107515.77,185
C00799361,53000.0,2
C00799460,530231.25,8
C00799528,2000.0,2
C00799866,916950.0,4
C00800250,150000.0,6
C00800508,19999999998.0,2
C00800995,9300.0,5
C00801514,24246046.4,173
C00801738,81100.0,3
C00801803,35000.0,2
C00801910,175650.69,41
C00802009,130899.98,5
C00802082,5000.0,1
C00802207,389999.88,12
C00802413,140000.0,6
C00802652,3296.0,1
C00802660,89997.6,4
C00802769,139012.2,4
C00802793,3408830.0,8
C00802942,409955.0,5
C00803593,45501.0,2
C00803684,117483.3,5
C00804104,28874330.56,42
C00804187,4663506.18,46
C00804518,110000.0,1
C00804526,111608.0,3
C00804617,2415914.77,26
C00804690,270000.0,3
C00804732,3196042.14,42
C00804773,2865356.09,26
C00804823,2458212.16,33
C00804856,4448639.15,168
C00804971,1375.35,2
C00804997,1109673.0,17
C00806075,826877.96,254
C00806083,232552.5,4
C00806208,1396538.77,28
C00806562,35460.5,1
C00806760,112580.89,18
C00806869,160550.32,15
C00806976,116732.0,8
C00807198,275000.0,4
C00807396,40000.0,1
C00807412,29538.08,6
C00807925,298439.22,9
C00807958,174103.48,10
C00808055,86808.36,5
C00808071,141758.6,3
C00808121,85000.0,1
C00808196,16951.77,2
C00808212,118230.34,6
C00808303,5832959.71,48
C00808386,48085.0,2
C00808584,625000.0,17
C00808626,350522.65,10
C00808964,544850.0,17
C00809020,11261154.85,111
C00809087,3196980.0,44
C00809236,778632.0,29
C00809467,83595.31,85
C00809517,27000.0,1
C00809715,174952.0,2
C00809749,75765.52,11
C00809830,64500.0,4
C00809848,71985.15,3
C00810051,190000.0,18
C00810606,846581.14,1
C00811166,13254662.95,45
C00811224,109000.0,1
C00811273,1040859.0,18
C00811331,139200.0,4
C00811356,28000.0,1
C00811620,173792.4,9
C00811653,21470.11,4
C00811711,608147.2,13
C00811786,20000.0,1
C00811802,52000.0,4
C00812032,25000.0,2
C00812230,395695.56,12
C00812347,911570.75,8
C00812370,443102.47,15
C00812420,1532367.1,8
C00812438,505000.0,2
C00812545,1715445.0,19
C00812685,1341980.48,13
C00812867,157419.22,6
C00813089,207448.11,14
C00813154,41640.18,4
C00813204,2756.0,3
C00813337,49258.53,9
C00813436,210000.0,1
C00813550,26548.0,2
C00813782,1110996.2,14
C00813873,12000.0,1
C00813915,10000.0,1
C00813964,27000.0,2
C00814152,662024.45,30
C00814244,262164.49,68
C00814251,123394.71,9
C00814285,21000.0,2
C00814327,226794.83,3
C00814434,9800.0,1
C00814509,127259.27,11
C00814772,99816.42,4
C00814921,65940.0,6
C00814962,32899.6,1
C00815282,28620.09,5
C00815316,3595799.89,15
C00815340,102210.05,3
C00815365,102176.86,14
C00815423,758000.0,4
C00815506,571932.28,34
C00815589,23500.0,1
C00815613,60500.0,3
C00815753,1701249.73,20
C00815779,260000.0,3
C00815787,240950.0,8
C00815860,12401000.0,2
C00815928,2250000.0,3
C00816033,9834.48,2
C00816124,93615.82,36
C00816173,133785.5,15
C00816355,92800.0,8
C00816363,67072.13,17
C00816827,23600.0,6
C00816843,69575.82,6
C00816876,81120.0,6
C00816892,5912690.7,64
C00816959,57255.83,2
C00816991,7927984.73,23
C00817015,4072157.39,19
C00817023,945712.49,21
C00817122,2526931.38,197
C00817254,90000.0,1
C00817288,54280.95,7
C00817460,15046.12,1
C00817536,5312371.24,282
C00817643,53727.64,3
C00817742,1999.2,1
C00817791,4975.0,1
C00817809,1255727.4,10
C00817882,14400.0,1
C00818054,858174.0,12
C00818138,615000.0,2
C00818161,430164.0,4
C00818195,43189.5,4
C00818278,78199.69,6
C00818492,24240.98,3
C00818849,1168789.92,34
C00819136,88517.5,8
C00819144,204428.0,2
C00819391,754746.55,19
C00819417,50000.0,1
C00819565,49640.0,3
C00819664,6088383.61,50
C00819722,9650.0,1
C00819987,14192.06,3
C00820001,1452881.83,16
C00820084,82969.21,9
C00820175,570874.88,10
C00820308,2439662.81,33
C00820357,91103.26,4
C00820522,20000.0,1
C00820589,19000.0,2
C00820753,101294.39,6
C00821009,113139.5,10
C00821280,1357304.2,66
C00821314,292283.15,5
C00821355,222753.0,8
C00821439,2720.0,1
C00821587,625000.0,7
C00821611,10334.67,29
C00821652,3198550.11,58
C00821702,3530.0,4
C00821975,111588.7,18
C00822072,316857.95,4
C00822254,410001.0,13
C00822379,482947.0,67
C00822437,129069.22,7
C00822536,37000.0,6
C00822775,248810.9,4
C00822973,29309.49,1
C00823013,54620065.0,1
C00823344,2881679.32,4
C00823559,170088.29,4
C00823658,52570.12,1
C00823856,33451.93,1
C00823989,4638470.16,3
C00824292,1659732.73,52
C00824318,240417.78,14
C00824441,11750.0,7
C00824482,36000.0,1
C00824532,15000.0,1
C00824656,600055.0,5
C00824714,56148.0,6
C00824920,70000.0,4
C00825091,1803555.64,11
C00825158,3250000.0,19
C00825216,40000.0,1
C00825372,1123644.48,16
C00825539,170251.1,8
C00825737,60983.87,27
C00825836,150000.0,4
C00825851,15030850.16,55
C00825869,9099.6,1
C00825885,92951.5,18
C00826024,56720.16,18
C00826263,159940.0,7
C00826271,656845.0,13
C00826412,290000.0,4
C00826495,102487.77,3
C00826537,444147.0,24
C00826644,564091.52,8
C00826735,138000.0,2
C00826743,17978.8,1
C00826776,314000.0,16
C00827105,22500.0,3
C00827196,177900.0,56
C00827212,149787.0,12
C00827220,105000.0,4
C00827618,18795.0,2
C00827659,2500000.0,8
C00827824,15000.0,1
C00827923,9600.0,1
C00827949,26831.52,5
C00828178,626732.14,5
